t,t_sec,p_base_x,p_base_y,p_base_z,q_base_x,q_base_y,q_base_z,q_base_w,v_base_x,v_base_y,v_base_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11
0.000000000000000000e+00,0.000000000000000000e+00,-1.355766893253330885e+00,-4.061249958034375829e-01,5.911610662851038978e-01,4.852897416989067521e-03,3.603637505144527148e-03,-8.544652030564844347e-01,5.238217024724319826e-01,3.621967356388399173e-01,8.231735669267669087e-01,1.950576511179271527e-02,-9.863199999999999745e-02,8.946349999999999580e-01,-1.405129999999999990e+00,9.456109999999999516e-02,3.484639999999999960e-01,-1.313700000000000090e+00,-1.690329999999999888e-01,4.887790000000000190e-01,-1.396579999999999933e+00,6.486970000000000236e-02,9.221580000000000332e-01,-1.340049999999999963e+00
1.000000000000000000e+00,5.000000000000000104e-03,-1.353911068839842580e+00,-4.020140797834865776e-01,5.913003492077548717e-01,4.352802601075829100e-03,3.689608030278083029e-03,-8.548259593270622902e-01,5.232365766981044164e-01,3.801430204429757098e-01,8.211928624724842418e-01,3.620469640141591589e-02,-1.010660000000000031e-01,8.847230000000000372e-01,-1.411689999999999889e+00,9.712750000000000550e-02,3.366060000000000163e-01,-1.306130000000000013e+00,-1.680589999999999862e-01,4.793100000000000138e-01,-1.392770000000000064e+00,6.522369999999999557e-02,9.126009999999999955e-01,-1.345860000000000056e+00
2.000000000000000000e+00,1.000000000000000021e-02,-1.352010105439720222e+00,-3.978953820899522875e-01,5.914649868306879332e-01,3.922063495871801891e-03,3.683744063051081798e-03,-8.552657895771306196e-01,5.225207868197245809e-01,3.802489829158351431e-01,8.262894400807185846e-01,2.964996120859915429e-02,-1.023049999999999932e-01,8.784399999999999986e-01,-1.414050000000000029e+00,9.849929999999999797e-02,3.233309999999999795e-01,-1.297520000000000007e+00,-1.685460000000000014e-01,4.689559999999999840e-01,-1.389930000000000110e+00,6.668390000000000428e-02,9.042820000000000302e-01,-1.348770000000000024e+00
3.000000000000000000e+00,1.499999999999999944e-02,-1.350106295027177161e+00,-3.937855089548603083e-01,5.916362801685245421e-01,3.602466528437188020e-03,3.660452844985489802e-03,-8.556892871825541036e-01,5.218294387565521886e-01,3.812780075516896128e-01,8.176631429820649943e-01,3.886781607931094618e-02,-1.030569999999999958e-01,8.735730000000000439e-01,-1.413450000000000095e+00,9.823379999999999612e-02,3.131530000000000147e-01,-1.291989999999999972e+00,-1.672629999999999950e-01,4.617870000000000030e-01,-1.388619999999999965e+00,6.739190000000000458e-02,8.988829999999999876e-01,-1.349250000000000060e+00
4.000000000000000000e+00,2.000000000000000042e-02,-1.348195867774869106e+00,-3.897048589348591219e-01,5.918683754869837887e-01,3.207218953112008983e-03,3.698511171508639134e-03,-8.560736661304646500e-01,5.212009295384374408e-01,3.828998714242230483e-01,8.146001688730920565e-01,5.397029581206039955e-02,-1.031900000000000039e-01,8.660060000000000535e-01,-1.408639999999999892e+00,9.721599999999999686e-02,2.967369999999999730e-01,-1.293909999999999894e+00,-1.628819999999999990e-01,4.514770000000000172e-01,-1.395259999999999945e+00,6.792289999999999439e-02,8.912280000000000202e-01,-1.347329999999999917e+00
5.000000000000000000e+00,2.500000000000000139e-02,-1.346300007176676639e+00,-3.856581085116447816e-01,5.921823722148549241e-01,2.851449027633387590e-03,3.780769162162584372e-03,-8.564265999575882971e-01,5.206222718441412267e-01,3.754497921451809828e-01,8.041042148437633763e-01,7.162965990543729289e-02,-1.028799999999999992e-01,8.602530000000000454e-01,-1.404959999999999987e+00,9.885330000000000505e-02,2.884180000000000077e-01,-1.300610000000000044e+00,-1.630149999999999932e-01,4.452380000000000226e-01,-1.404330000000000078e+00,6.761319999999999830e-02,8.854309999999999681e-01,-1.345890000000000031e+00
6.000000000000000000e+00,2.999999999999999889e-02,-1.344455997817305404e+00,-3.816815108593075156e-01,5.925232562132585201e-01,2.593866721797485723e-03,3.792044775178365565e-03,-8.567233689521973616e-01,5.201350376345880155e-01,3.621538291214741467e-01,7.865390968204816202e-01,6.472567262296934076e-02,-1.015970000000000067e-01,8.541910000000000336e-01,-1.402549999999999963e+00,9.964969999999999384e-02,2.831080000000000263e-01,-1.310289999999999955e+00,-1.630590000000000095e-01,4.422289999999999832e-01,-1.415869999999999962e+00,6.668390000000000428e-02,8.791039999999999965e-01,-1.345290000000000097e+00
7.000000000000000000e+00,3.500000000000000333e-02,-1.342664664717909462e+00,-3.777970928233186920e-01,5.928267942722260653e-01,2.378313354321967554e-03,3.678798798644362499e-03,-8.570223411466250107e-01,5.196441213682979621e-01,3.543774686626726678e-01,7.672324488148275501e-01,5.669122167020822223e-02,-9.867629999999999457e-02,8.452089999999999881e-01,-1.402139999999999942e+00,1.000479999999999980e-01,2.814710000000000267e-01,-1.328430000000000000e+00,-1.631029999999999980e-01,4.428039999999999754e-01,-1.435859999999999914e+00,6.411740000000000494e-02,8.699440000000000506e-01,-1.346340000000000092e+00
8.000000000000000000e+00,4.000000000000000083e-02,-1.340906306723029351e+00,-3.739980937988677256e-01,5.931173292272288178e-01,2.216910355694207049e-03,3.592084601315347070e-03,-8.573269847470174065e-01,5.191426773954957996e-01,3.489644784606512062e-01,7.523709437935458544e-01,5.952371450850447998e-02,-9.668499999999999317e-02,8.367569999999999730e-01,-1.404039999999999955e+00,9.973819999999999908e-02,2.893470000000000208e-01,-1.352500000000000036e+00,-1.624839999999999895e-01,4.503710000000000213e-01,-1.458650000000000002e+00,6.212619999999999948e-02,8.610940000000000261e-01,-1.348680000000000101e+00
9.000000000000000000e+00,4.499999999999999833e-02,-1.339208138067282228e+00,-3.702646064232122392e-01,5.934844340070952740e-01,2.056555284698039290e-03,3.638703338690897886e-03,-8.576044753678948585e-01,5.186844804690192712e-01,3.303051439620563468e-01,7.410284262221414897e-01,8.731937655017972533e-02,-9.588850000000000151e-02,8.314470000000000471e-01,-1.405529999999999946e+00,9.969400000000000484e-02,2.948779999999999735e-01,-1.372670000000000057e+00,-1.623070000000000068e-01,4.572300000000000253e-01,-1.476669999999999927e+00,6.097570000000000073e-02,8.551210000000000200e-01,-1.350570000000000048e+00
1.000000000000000000e+01,5.000000000000000278e-02,-1.337550813199953836e+00,-3.666369928814495749e-01,5.939426362094257783e-01,1.798807552216519397e-03,3.803606109029350393e-03,-8.578796545356861536e-01,5.182289949798002393e-01,3.326252671629646440e-01,7.100164190064152114e-01,9.596118090671022782e-02,-9.473810000000000564e-02,8.236149999999999860e-01,-1.407599999999999962e+00,9.982670000000000432e-02,3.067369999999999819e-01,-1.407829999999999915e+00,-1.623070000000000068e-01,4.689999999999999725e-01,-1.507509999999999906e+00,6.026770000000000044e-02,8.460490000000000510e-01,-1.353630000000000111e+00
